event_id,timestamp,platform,event_type,acct_id,person_id,source_ip,user_agent,resource,success,is_anomalous,details
evt-2cbf21f0,2026-06-10T08:15:24.695759,github,login_success,acct-git-ID-0000-42fa94,ID-0000,56.2.228.59,,packages,True,False,"{""post_termination"": true}"
evt-311e52e7,2026-05-27T06:31:24.695759,salesforce,resource_access,acct-sal-ID-0000-b70a39,ID-0000,92.227.72.122,,setup,True,False,"{""post_termination"": true}"
evt-1925ea84,2026-06-08T19:59:24.695759,active_directory,login_success,acct-act-ID-0000-e0b6be,ID-0000,171.103.214.28,,exchange,True,False,"{""post_termination"": true}"
evt-91c2e21c,2026-06-16T04:01:24.695759,active_directory,resource_access,acct-act-ID-0000-e0b6be,ID-0000,216.52.124.231,,exchange,True,False,"{""post_termination"": true}"
evt-1cf72e63,2026-06-19T08:23:24.695759,active_directory,login_success,acct-act-ID-0000-e0b6be,ID-0000,222.244.144.5,,domain-controller,True,False,"{""post_termination"": true}"
evt-6f8b9624,2026-05-23T12:27:24.695759,active_directory,resource_access,acct-act-ID-0000-e0b6be,ID-0000,88.208.17.82,,exchange,True,False,"{""post_termination"": true}"
evt-62379d87,2026-06-15T11:01:24.695759,active_directory,login_success,acct-act-ID-0000-e0b6be,ID-0000,188.238.166.145,,gpo,True,False,"{""post_termination"": true}"
evt-7079b78e,2026-06-10T02:34:24.695759,aws_iam,login_success,acct-aws-ID-0001-cf8654,ID-0001,4.137.130.144,,lambda:*,True,False,"{""post_termination"": false}"
evt-57b243b1,2026-06-18T08:36:24.695759,github,resource_access,acct-git-ID-0001-4e1cfc,ID-0001,51.0.250.29,,repos:private,True,False,"{""post_termination"": false}"
evt-9f22275e,2026-05-22T16:02:24.695759,aws_iam,resource_access,acct-aws-ID-0001-cf8654,ID-0001,210.201.192.124,,lambda:*,True,False,"{""post_termination"": false}"
evt-7098fdc8,2026-06-05T00:57:24.695759,aws_iam,login_success,acct-aws-ID-0001-cf8654,ID-0001,8.137.116.47,,iam:*,True,False,"{""post_termination"": false}"
evt-3f40a1b7,2026-06-09T18:13:24.695759,github,login_success,acct-git-ID-0001-4e1cfc,ID-0001,205.49.118.250,,settings,True,False,"{""post_termination"": false}"
evt-d413e958,2026-06-03T07:19:24.695759,aws_iam,resource_access,acct-aws-ID-0001-cf8654,ID-0001,21.87.140.154,,kms:*,True,False,"{""post_termination"": false}"
evt-39cb95b7,2026-06-19T17:06:24.695759,github,login_success,acct-git-ID-0001-4e1cfc,ID-0001,135.10.46.246,,settings,True,False,"{""post_termination"": false}"
evt-c7fb92ee,2026-05-22T21:59:24.695759,aws_iam,login_success,acct-aws-ID-0001-cf8654,ID-0001,83.183.88.20,,s3://prod-data,True,False,"{""post_termination"": false}"
evt-c41de2d3,2026-06-11T19:41:24.695759,aws_iam,login_success,acct-aws-ID-0002-c96463,ID-0002,61.21.64.34,,lambda:*,True,False,"{""post_termination"": false}"
evt-26b2ec8d,2026-05-30T11:33:24.695759,aws_iam,resource_access,acct-aws-ID-0002-c96463,ID-0002,152.164.205.119,,s3://prod-data,True,False,"{""post_termination"": false}"
evt-4ab0949c,2026-06-11T14:06:24.695759,salesforce,resource_access,acct-sal-ID-0002-ae2baf,ID-0002,79.29.179.214,,contacts,True,False,"{""post_termination"": false}"
evt-17db2217,2026-06-18T10:30:24.695759,active_directory,resource_access,acct-act-ID-0002-8a55b5,ID-0002,59.106.251.116,,file-server,True,False,"{""post_termination"": false}"
evt-5e12025e,2026-06-07T14:04:24.695759,aws_iam,login_success,acct-aws-ID-0002-c96463,ID-0002,66.86.24.253,,iam:*,True,False,"{""post_termination"": false}"
evt-8fe03d72,2026-06-19T08:13:24.695759,aws_iam,resource_access,acct-aws-ID-0003-ddfec5,ID-0003,115.247.184.119,,iam:*,True,False,"{""post_termination"": true}"
evt-e3617953,2026-05-28T02:07:24.695759,okta,login_success,acct-okt-ID-0003-f26afb,ID-0003,29.152.2.72,,mfa-config,True,False,"{""post_termination"": true}"
evt-01475163,2026-06-18T14:05:24.695759,active_directory,login_success,acct-act-ID-0003-24aa73,ID-0003,143.184.174.184,,dns,False,False,"{""post_termination"": true}"
evt-d9f9d56f,2026-05-30T03:47:24.695759,active_directory,resource_access,acct-act-ID-0003-24aa73,ID-0003,101.202.239.113,,file-server,True,False,"{""post_termination"": true}"
evt-af15f5bd,2026-06-01T14:10:24.695759,okta,login_success,acct-okt-ID-0003-f26afb,ID-0003,30.20.189.47,,policies,True,False,"{""post_termination"": true}"
evt-e3113b70,2026-05-26T02:08:24.695759,active_directory,resource_access,acct-act-ID-0003-24aa73,ID-0003,129.108.152.139,,dns,True,False,"{""post_termination"": true}"
evt-066004fe,2026-05-31T00:05:24.695759,github,login_success,acct-git-ID-0003-f8dace,ID-0003,167.137.58.166,,repos:private,True,False,"{""post_termination"": true}"
evt-72c06fb9,2026-06-15T05:22:24.695759,okta,resource_access,acct-okt-ID-0004-3bbfa0,ID-0004,135.178.14.190,,policies,True,False,"{""post_termination"": true}"
evt-bff2da62,2026-06-11T04:01:24.695759,okta,resource_access,acct-okt-ID-0004-3bbfa0,ID-0004,5.21.202.17,,mfa-config,True,False,"{""post_termination"": true}"
evt-4d06bbc0,2026-06-12T15:27:24.695759,github,resource_access,acct-git-ID-0004-d4490e,ID-0004,97.119.159.172,,repos:public,True,False,"{""post_termination"": true}"
evt-2af8f09c,2026-06-05T16:54:24.695759,okta,resource_access,acct-okt-ID-0005-6f3013,ID-0005,62.108.138.200,,policies,True,False,"{""post_termination"": true}"
evt-89d95b88,2026-05-23T13:25:24.695759,github,resource_access,acct-git-ID-0005-cf10e2,ID-0005,216.255.170.157,,packages,True,False,"{""post_termination"": true}"
evt-4fe482b1,2026-05-31T06:27:24.695759,okta,resource_access,acct-okt-ID-0005-6f3013,ID-0005,176.132.65.223,,policies,True,False,"{""post_termination"": true}"
evt-11051b51,2026-06-17T18:57:24.695759,active_directory,resource_access,acct-act-ID-0005-ec5c17,ID-0005,190.119.200.121,,exchange,True,False,"{""post_termination"": true}"
evt-74ba88d1,2026-06-12T06:23:24.695759,salesforce,resource_access,acct-sal-ID-0006-6a66e8,ID-0006,14.228.255.177,,accounts,True,False,"{""post_termination"": false}"
evt-3b4caf71,2026-06-16T05:50:24.695759,salesforce,login_success,acct-sal-ID-0006-6a66e8,ID-0006,53.22.94.208,,accounts,False,False,"{""post_termination"": false}"
evt-820b3413,2026-06-19T18:44:24.695759,okta,login_success,acct-okt-ID-0006-24bb72,ID-0006,130.252.251.141,,mfa-config,True,False,"{""post_termination"": false}"
evt-3c913522,2026-06-06T00:35:24.695759,active_directory,resource_access,acct-act-ID-0007-9dc2b5,ID-0007,45.34.192.246,,file-server,True,False,"{""post_termination"": false}"
evt-f5d7d263,2026-06-14T09:24:24.695759,salesforce,resource_access,acct-sal-ID-0007-92d92b,ID-0007,141.20.19.105,,setup,True,False,"{""post_termination"": false}"
evt-e3b80d6a,2026-06-01T17:43:24.695759,salesforce,login_success,acct-sal-ID-0007-92d92b,ID-0007,42.211.132.77,,accounts,True,False,"{""post_termination"": false}"
evt-03a21789,2026-05-23T08:57:24.695759,active_directory,resource_access,acct-act-ID-0007-9dc2b5,ID-0007,158.210.43.244,,exchange,True,False,"{""post_termination"": false}"
evt-eba0b534,2026-06-07T05:53:24.695759,okta,resource_access,acct-okt-ID-0008-21144c,ID-0008,196.24.165.232,,sso-apps,True,False,"{""post_termination"": true}"
evt-8db6fe90,2026-05-30T20:40:24.695759,active_directory,login_success,acct-act-ID-0008-781fdb,ID-0008,186.19.195.152,,gpo,True,False,"{""post_termination"": true}"
evt-fbc211b5,2026-05-28T22:06:24.695759,active_directory,resource_access,acct-act-ID-0008-781fdb,ID-0008,165.41.150.7,,file-server,True,False,"{""post_termination"": true}"
evt-2de3bca9,2026-05-21T15:07:24.695759,active_directory,login_success,acct-act-ID-0008-781fdb,ID-0008,168.154.249.78,,dns,False,False,"{""post_termination"": true}"
evt-fc6967db,2026-06-01T19:47:24.695759,active_directory,resource_access,acct-act-ID-0009-31631d,ID-0009,136.229.91.181,,exchange,True,False,"{""post_termination"": false}"
evt-da386836,2026-06-07T14:02:24.695759,github,login_success,acct-git-ID-0009-7c11f0,ID-0009,175.164.174.170,,repos:private,True,False,"{""post_termination"": false}"
evt-09716e81,2026-06-14T03:33:24.695759,salesforce,login_success,acct-sal-ID-0009-eb2927,ID-0009,91.11.172.49,,reports,True,False,"{""post_termination"": false}"
evt-9e320eca,2026-05-27T06:40:24.695759,active_directory,resource_access,acct-act-ID-0009-31631d,ID-0009,178.124.236.134,,file-server,True,False,"{""post_termination"": false}"
evt-f99c47bb,2026-06-10T14:20:24.695759,active_directory,resource_access,acct-act-ID-0009-31631d,ID-0009,7.54.55.84,,dns,True,False,"{""post_termination"": false}"
evt-00b8fe0b,2026-05-29T10:10:24.695759,salesforce,resource_access,acct-sal-ID-0009-eb2927,ID-0009,156.86.137.241,,contacts,True,False,"{""post_termination"": false}"
evt-b95e47af,2026-06-13T23:46:24.695759,active_directory,login_success,acct-act-ID-0009-31631d,ID-0009,89.2.29.190,,exchange,False,False,"{""post_termination"": false}"
evt-cffef027,2026-05-25T22:48:24.695759,salesforce,login_success,acct-sal-ID-0010-a54db0,ID-0010,102.62.169.46,,opportunities,False,False,"{""post_termination"": true}"
evt-44ebfbb9,2026-05-20T23:23:24.695759,salesforce,resource_access,acct-sal-ID-0010-a54db0,ID-0010,188.222.250.173,,accounts,True,False,"{""post_termination"": true}"
evt-b4c1e13f,2026-06-09T22:18:24.695759,aws_iam,login_success,acct-aws-ID-0010-1b8a01,ID-0010,176.121.124.215,,lambda:*,True,False,"{""post_termination"": true}"
evt-75df0a6c,2026-05-26T15:30:24.695759,aws_iam,resource_access,acct-aws-ID-0010-1b8a01,ID-0010,21.172.136.219,,kms:*,True,False,"{""post_termination"": true}"
evt-d83779ab,2026-06-01T16:37:24.695759,salesforce,resource_access,acct-sal-ID-0010-a54db0,ID-0010,178.144.29.87,,opportunities,True,False,"{""post_termination"": true}"
evt-f5c1a964,2026-05-28T12:42:24.695759,github,login_success,acct-git-ID-0011-a49a9e,ID-0011,138.57.38.201,,repos:public,True,False,"{""post_termination"": true}"
evt-69baa376,2026-06-18T12:38:24.695759,okta,login_success,acct-okt-ID-0011-c1cdfe,ID-0011,20.236.230.103,,sso-apps,True,False,"{""post_termination"": true}"
evt-43845a32,2026-05-23T02:36:24.695759,okta,login_success,acct-okt-ID-0011-c1cdfe,ID-0011,52.169.181.69,,policies,True,False,"{""post_termination"": true}"
evt-cbd4c8c8,2026-06-10T23:32:24.695759,salesforce,login_success,acct-sal-ID-0011-87c2f9,ID-0011,194.208.248.166,,setup,True,False,"{""post_termination"": true}"
evt-8deb4cd9,2026-06-07T21:58:24.695759,okta,resource_access,acct-okt-ID-0011-c1cdfe,ID-0011,183.119.218.54,,user-management,True,False,"{""post_termination"": true}"
evt-8a8e7d3b,2026-05-30T22:15:24.695759,github,login_success,acct-git-ID-0012-85b5b4,ID-0012,30.164.45.83,,packages,True,False,"{""post_termination"": false}"
evt-f486fac0,2026-06-01T13:41:24.695759,aws_iam,resource_access,acct-aws-ID-0012-6e5a3d,ID-0012,176.49.197.227,,kms:*,True,False,"{""post_termination"": false}"
evt-87e804c2,2026-05-23T03:59:24.695759,aws_iam,login_success,acct-aws-ID-0012-6e5a3d,ID-0012,12.237.104.125,,s3://prod-data,True,False,"{""post_termination"": false}"
evt-2fda7613,2026-05-29T19:10:24.695759,github,login_success,acct-git-ID-0012-85b5b4,ID-0012,138.251.192.77,,repos:public,True,False,"{""post_termination"": false}"
evt-133878bb,2026-06-09T19:43:24.695759,salesforce,login_success,acct-sal-ID-0013-d65c0e,ID-0013,50.175.23.100,,accounts,True,False,"{""post_termination"": true}"
evt-ed4d0fa2,2026-06-14T21:36:24.695759,aws_iam,resource_access,acct-aws-ID-0013-98ab8a,ID-0013,107.76.201.122,,kms:*,True,False,"{""post_termination"": true}"
evt-e1331335,2026-06-05T01:24:24.695759,active_directory,login_success,acct-act-ID-0013-6eb962,ID-0013,183.128.89.32,,file-server,True,False,"{""post_termination"": true}"
evt-ef4e0d1b,2026-05-22T22:31:24.695759,active_directory,resource_access,acct-act-ID-0013-6eb962,ID-0013,194.89.48.58,,file-server,True,False,"{""post_termination"": true}"
evt-5fa58651,2026-06-08T07:09:24.695759,github,resource_access,acct-git-ID-0013-6b8fbd,ID-0013,143.49.166.23,,packages,True,False,"{""post_termination"": true}"
evt-c6cc2515,2026-06-03T08:56:24.695759,aws_iam,resource_access,acct-aws-ID-0014-00877e,ID-0014,202.154.223.143,,iam:*,False,False,"{""post_termination"": false}"
evt-b466f04d,2026-06-06T11:59:24.695759,salesforce,login_success,acct-sal-ID-0014-c5ac4a,ID-0014,129.59.216.124,,setup,True,False,"{""post_termination"": false}"
evt-5583e06d,2026-06-14T10:20:24.695759,aws_iam,resource_access,acct-aws-ID-0014-00877e,ID-0014,86.246.116.242,,lambda:*,True,False,"{""post_termination"": false}"
evt-08b1ed73,2026-05-22T11:41:24.695759,aws_iam,resource_access,acct-aws-ID-0014-00877e,ID-0014,189.100.188.61,,kms:*,True,False,"{""post_termination"": false}"
evt-464dc452,2026-06-16T11:18:24.695759,github,resource_access,acct-git-ID-0014-6fa357,ID-0014,28.44.21.135,,settings,True,False,"{""post_termination"": false}"
evt-cd17f796,2026-05-21T08:48:24.695759,salesforce,resource_access,acct-sal-ID-0014-c5ac4a,ID-0014,132.16.137.189,,accounts,True,False,"{""post_termination"": false}"
evt-1dfff2aa,2026-06-10T16:25:24.695759,active_directory,login_success,acct-act-ID-0015-40f630,ID-0015,156.27.173.14,,exchange,True,False,"{""post_termination"": true}"
evt-e827c8cf,2026-06-13T09:53:24.695759,github,login_success,acct-git-ID-0015-eb2fb2,ID-0015,98.241.98.231,,repos:public,True,False,"{""post_termination"": true}"
evt-56feedca,2026-06-19T18:31:24.695759,salesforce,resource_access,acct-sal-ID-0015-08d295,ID-0015,121.76.155.142,,opportunities,True,False,"{""post_termination"": true}"
evt-88e5b11a,2026-06-06T02:12:24.695759,aws_iam,resource_access,acct-aws-ID-0015-fa73b2,ID-0015,202.139.9.44,,kms:*,True,False,"{""post_termination"": true}"
evt-474ed10b,2026-05-22T06:49:24.695759,salesforce,login_success,acct-sal-ID-0015-08d295,ID-0015,116.114.109.23,,contacts,True,False,"{""post_termination"": true}"
evt-d62074d6,2026-06-18T08:35:24.695759,github,resource_access,acct-git-ID-0015-eb2fb2,ID-0015,143.179.240.151,,packages,True,False,"{""post_termination"": true}"
evt-62585ae3,2026-05-21T15:45:24.695759,active_directory,resource_access,acct-act-ID-0016-27f062,ID-0016,162.88.224.22,,dns,True,False,"{""post_termination"": false}"
evt-211c7e69,2026-06-12T20:49:24.695759,active_directory,resource_access,acct-act-ID-0016-27f062,ID-0016,178.105.57.66,,dns,True,False,"{""post_termination"": false}"
evt-7a38754c,2026-05-23T08:45:24.695759,salesforce,resource_access,acct-sal-ID-0016-dd66a8,ID-0016,19.146.154.184,,contacts,True,False,"{""post_termination"": false}"
evt-1bdc5583,2026-05-27T08:48:24.695759,salesforce,resource_access,acct-sal-ID-0017-1b04e9,ID-0017,32.91.109.212,,reports,True,False,"{""post_termination"": false}"
evt-22c4edc0,2026-05-22T19:13:24.695759,salesforce,login_success,acct-sal-ID-0017-1b04e9,ID-0017,56.31.54.209,,accounts,True,False,"{""post_termination"": false}"
evt-ce30a1f7,2026-05-27T02:07:24.695759,github,login_success,acct-git-ID-0017-bd1b46,ID-0017,201.21.149.208,,repos:public,True,False,"{""post_termination"": false}"
evt-3779f666,2026-06-05T03:34:24.695759,github,resource_access,acct-git-ID-0017-bd1b46,ID-0017,135.74.25.232,,repos:private,False,False,"{""post_termination"": false}"
evt-26f04648,2026-06-09T02:16:24.695759,salesforce,resource_access,acct-sal-ID-0017-1b04e9,ID-0017,35.80.198.28,,reports,True,False,"{""post_termination"": false}"
evt-8b7cfe3b,2026-06-08T18:07:24.695759,salesforce,login_success,acct-sal-ID-0017-1b04e9,ID-0017,80.42.143.186,,setup,True,False,"{""post_termination"": false}"
evt-26bb2c16,2026-06-14T08:47:24.695759,github,resource_access,acct-git-ID-0017-bd1b46,ID-0017,212.138.149.62,,actions,True,False,"{""post_termination"": false}"
evt-997f5e83,2026-06-16T09:53:24.695759,salesforce,login_success,acct-sal-ID-0017-1b04e9,ID-0017,210.251.29.76,,accounts,True,False,"{""post_termination"": false}"
evt-fe49e3b2,2026-05-23T22:34:24.695759,okta,login_success,acct-okt-ID-0018-63431b,ID-0018,44.200.25.175,,sso-apps,True,False,"{""post_termination"": true}"
evt-d1223879,2026-05-27T15:18:24.695759,salesforce,resource_access,acct-sal-ID-0018-13397e,ID-0018,204.94.253.47,,reports,True,False,"{""post_termination"": true}"
evt-35d1446f,2026-05-25T02:58:24.695759,okta,login_success,acct-okt-ID-0018-63431b,ID-0018,67.123.70.211,,policies,True,False,"{""post_termination"": true}"
evt-0350122b,2026-06-09T04:40:24.695759,okta,login_success,acct-okt-ID-0018-63431b,ID-0018,205.63.164.187,,user-management,True,False,"{""post_termination"": true}"
evt-072681d6,2026-05-26T00:16:24.695759,salesforce,resource_access,acct-sal-ID-0018-13397e,ID-0018,51.24.16.166,,setup,True,False,"{""post_termination"": true}"
evt-52cc68ca,2026-06-05T17:02:24.695759,okta,login_success,acct-okt-ID-0018-63431b,ID-0018,67.17.48.63,,sso-apps,True,False,"{""post_termination"": true}"
evt-e702b4a4,2026-05-26T08:42:24.695759,okta,resource_access,acct-okt-ID-0019-2b34df,ID-0019,102.32.51.61,,sso-apps,True,False,"{""post_termination"": true}"
evt-cc07a473,2026-06-19T12:24:24.695759,okta,login_success,acct-okt-ID-0019-2b34df,ID-0019,9.12.168.22,,sso-apps,True,False,"{""post_termination"": true}"
evt-a7a69b32,2026-06-11T18:09:24.695759,active_directory,resource_access,acct-act-ID-0019-771989,ID-0019,28.222.24.62,,exchange,False,False,"{""post_termination"": true}"
evt-6ad016f4,2026-06-16T18:01:24.695759,okta,login_success,acct-okt-ID-0019-2b34df,ID-0019,106.166.80.205,,api-tokens,True,False,"{""post_termination"": true}"
