entitlement_id,person_id,acct_id,platform,role_id,role_name,is_admin_role,permission_id,resource,action,privilege_level,is_sensitive,granted_at
ENT-000001,ID-0036,acct-sal-ID-0036-e5da60,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2025-07-08T15:04:07.652383
ENT-000002,ID-0036,acct-ser-ID-0036-0cd5e7,servicenow,role-ser-001,security_admin,True,perm-ser-04-04,service-catalog,admin,admin,True,2025-08-15T15:04:07.652383
ENT-000003,ID-0036,acct-ser-ID-0036-0cd5e7,servicenow,role-ser-001,security_admin,True,perm-ser-04-05,service-catalog,execute,write,False,2025-08-15T15:04:07.652383
ENT-000004,ID-0036,acct-ser-ID-0036-0cd5e7,servicenow,role-ser-001,security_admin,True,perm-ser-01-02,changes,create,write,False,2025-08-15T15:04:07.652383
ENT-000005,ID-0036,acct-ser-ID-0036-0cd5e7,servicenow,role-ser-001,security_admin,True,perm-ser-00-00,incidents,read,read,False,2025-08-15T15:04:07.652383
ENT-000006,ID-0036,acct-azu-ID-0036-fbfd5f,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-03,aad-users,delete,admin,True,2026-04-29T15:04:07.652383
ENT-000007,ID-0036,acct-azu-ID-0036-fbfd5f,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-01-02,keyvault,create,write,False,2026-04-29T15:04:07.652383
ENT-000008,ID-0036,acct-azu-ID-0036-fbfd5f,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-00-04,subscriptions,admin,admin,True,2026-04-29T15:04:07.652383
ENT-000009,ID-0036,acct-azu-ID-0036-fbfd5f,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-00,aad-users,read,read,False,2026-04-29T15:04:07.652383
ENT-000010,ID-0037,acct-okt-ID-0037-a12d47,okta,role-okt-000,Super Admin,True,perm-okt-03-04,api-tokens,admin,admin,True,2026-05-24T15:04:07.652383
ENT-000011,ID-0037,acct-okt-ID-0037-a12d47,okta,role-okt-000,Super Admin,True,perm-okt-04-04,policies,admin,admin,True,2026-05-24T15:04:07.652383
ENT-000012,ID-0037,acct-git-ID-0037-a6140d,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2026-01-08T15:04:07.652383
ENT-000013,ID-0037,acct-git-ID-0037-a6140d,github,role-git-001,Admin,True,perm-git-04-02,settings,create,write,False,2026-01-08T15:04:07.652383
ENT-000014,ID-0037,acct-azu-ID-0037-a2e5b3,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-02,subscriptions,create,write,False,2025-06-24T15:04:07.652383
ENT-000015,ID-0037,acct-azu-ID-0037-a2e5b3,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-01,subscriptions,write,write,False,2025-06-24T15:04:07.652383
ENT-000016,ID-0037,acct-azu-ID-0037-a2e5b3,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-03,subscriptions,delete,admin,True,2025-06-24T15:04:07.652383
ENT-000017,ID-0037,acct-azu-ID-0037-a2e5b3,azure_ad,role-azu-002,User Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2025-06-24T15:04:07.652383
ENT-000018,ID-0038,acct-aws-ID-0038-c15729,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2026-05-27T15:04:07.652383
ENT-000019,ID-0038,acct-aws-ID-0038-c15729,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-05-27T15:04:07.652383
ENT-000020,ID-0038,acct-azu-ID-0038-6e5afb,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-03,aad-users,delete,admin,True,2026-06-12T15:04:07.652383
ENT-000021,ID-0038,acct-azu-ID-0038-6e5afb,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-01-02,keyvault,create,write,False,2026-06-12T15:04:07.652383
ENT-000022,ID-0038,acct-azu-ID-0038-6e5afb,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-00-04,subscriptions,admin,admin,True,2026-06-12T15:04:07.652383
ENT-000023,ID-0038,acct-azu-ID-0038-6e5afb,azure_ad,role-azu-001,Privileged Role Administrator,True,perm-azu-02-00,aad-users,read,read,False,2026-06-12T15:04:07.652383
ENT-000024,ID-0039,acct-git-ID-0039-d5943e,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-09-24T15:04:07.652383
ENT-000025,ID-0039,acct-git-ID-0039-d5943e,github,role-git-001,Admin,True,perm-git-04-02,settings,create,write,False,2025-09-24T15:04:07.652383
ENT-000026,ID-0039,acct-aws-ID-0039-07b206,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-02,lambda:*,create,write,False,2026-06-12T15:04:07.652383
ENT-000027,ID-0039,acct-aws-ID-0039-07b206,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-06-12T15:04:07.652383
ENT-000028,ID-0040,acct-sal-ID-0040-bd18e5,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-01,setup,write,write,False,2026-06-02T15:04:07.652383
ENT-000029,ID-0040,acct-aws-ID-0040-ebd094,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-05,lambda:*,execute,write,False,2025-09-30T15:04:07.652383
ENT-000030,ID-0040,acct-aws-ID-0040-ebd094,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-01,lambda:*,write,write,False,2025-09-30T15:04:07.652383
ENT-000031,ID-0040,acct-aws-ID-0040-ebd094,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-04-04,lambda:*,admin,admin,True,2025-09-30T15:04:07.652383
ENT-000032,ID-0040,acct-azu-ID-0040-7d423a,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-02,subscriptions,create,write,False,2025-07-20T15:04:07.652383
ENT-000033,ID-0040,acct-azu-ID-0040-7d423a,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-01,subscriptions,write,write,False,2025-07-20T15:04:07.652383
ENT-000034,ID-0040,acct-azu-ID-0040-7d423a,azure_ad,role-azu-002,User Administrator,True,perm-azu-00-03,subscriptions,delete,admin,True,2025-07-20T15:04:07.652383
ENT-000035,ID-0040,acct-azu-ID-0040-7d423a,azure_ad,role-azu-002,User Administrator,True,perm-azu-04-02,app-registrations,create,write,False,2025-07-20T15:04:07.652383
ENT-000036,ID-0040,acct-act-ID-0040-fdec47,active_directory,role-act-001,Enterprise Admin,True,perm-act-02-01,exchange,write,write,False,2025-12-05T15:04:07.652383
