person_id,acct_id,target_id,target_type,platform,granted_at,granted_by,is_direct
ID-0000,acct-act-ID-0000-519e26,grp-act-005,group,active_directory,2025-12-13T12:25:03.480259,system,True
ID-0000,acct-ser-ID-0000-ef4d95,grp-ser-004,group,servicenow,2025-07-21T12:25:03.480259,system,True
ID-0000,acct-ser-ID-0000-ef4d95,grp-ser-002,group,servicenow,2025-09-23T12:25:03.480259,system,True
ID-0000,acct-git-ID-0000-537f7c,grp-git-004,group,github,2026-04-27T12:25:03.480259,system,True
ID-0000,acct-git-ID-0000-537f7c,grp-git-005,group,github,2025-09-10T12:25:03.480259,system,True
ID-0000,acct-git-ID-0000-537f7c,grp-git-000,group,github,2026-04-02T12:25:03.480259,system,True
ID-0000,acct-azu-ID-0000-106c35,grp-azu-001,group,azure_ad,2026-02-05T12:25:03.480259,system,True
ID-0000,acct-azu-ID-0000-106c35,grp-azu-005,group,azure_ad,2025-10-05T12:25:03.480259,system,True
ID-0000,acct-azu-ID-0000-106c35,grp-azu-002,group,azure_ad,2025-10-13T12:25:03.480259,system,True
ID-0001,acct-aws-ID-0001-7042cb,grp-aws-007,group,aws_iam,2025-09-06T12:25:03.480259,system,True
ID-0001,acct-azu-ID-0001-34c980,grp-azu-005,group,azure_ad,2025-12-13T12:25:03.480259,system,True
ID-0002,acct-azu-ID-0002-9980f1,grp-azu-006,group,azure_ad,2026-02-19T12:25:03.480259,system,True
ID-0002,acct-azu-ID-0002-9980f1,grp-azu-003,group,azure_ad,2026-03-29T12:25:03.480259,system,True
ID-0002,acct-azu-ID-0002-9980f1,grp-azu-004,group,azure_ad,2026-03-22T12:25:03.480259,system,True
ID-0002,acct-sal-ID-0002-93cd90,grp-sal-006,group,salesforce,2026-02-13T12:25:03.480259,system,True
ID-0002,acct-sal-ID-0002-93cd90,grp-sal-003,group,salesforce,2026-02-04T12:25:03.480259,system,True
ID-0002,acct-ser-ID-0002-67ac0d,grp-ser-003,group,servicenow,2026-02-27T12:25:03.480259,system,True
ID-0003,acct-act-ID-0003-e2f8cc,grp-act-004,group,active_directory,2025-10-03T12:25:03.480259,system,True
ID-0003,acct-act-ID-0003-e2f8cc,grp-act-001,group,active_directory,2025-11-28T12:25:03.480259,system,True
ID-0003,acct-sal-ID-0003-d4c58a,grp-sal-002,group,salesforce,2026-02-05T12:25:03.480259,system,True
ID-0003,acct-sal-ID-0003-d4c58a,grp-sal-000,group,salesforce,2026-06-01T12:25:03.480259,system,True
ID-0003,acct-sal-ID-0003-d4c58a,grp-sal-005,group,salesforce,2026-04-26T12:25:03.480259,system,True
ID-0004,acct-git-ID-0004-51fbd3,grp-git-000,group,github,2025-07-12T12:25:03.480259,system,True
ID-0004,acct-git-ID-0004-51fbd3,grp-git-004,group,github,2026-03-12T12:25:03.480259,system,True
ID-0004,acct-act-ID-0004-e4d00e,grp-act-005,group,active_directory,2026-04-18T12:25:03.480259,system,True
ID-0004,acct-okt-ID-0004-953386,grp-okt-006,group,okta,2025-09-10T12:25:03.480259,system,True
ID-0004,acct-okt-ID-0004-953386,grp-okt-005,group,okta,2026-04-16T12:25:03.480259,system,True
ID-0004,acct-azu-ID-0004-4d39e1,grp-azu-003,group,azure_ad,2025-11-25T12:25:03.480259,system,True
ID-0004,acct-azu-ID-0004-4d39e1,grp-azu-005,group,azure_ad,2025-09-13T12:25:03.480259,system,True
ID-0004,acct-azu-ID-0004-4d39e1,grp-azu-001,group,azure_ad,2026-06-20T12:25:03.480259,system,True
ID-0005,acct-aws-ID-0005-a5c35a,grp-aws-007,group,aws_iam,2025-07-31T12:25:03.480259,system,True
ID-0005,acct-aws-ID-0005-a5c35a,grp-aws-002,group,aws_iam,2025-08-07T12:25:03.480259,system,True
ID-0005,acct-aws-ID-0005-a5c35a,grp-aws-001,group,aws_iam,2025-12-31T12:25:03.480259,system,True
ID-0005,acct-okt-ID-0005-dd7282,grp-okt-004,group,okta,2026-04-06T12:25:03.480259,system,True
ID-0005,acct-sal-ID-0005-883f67,grp-sal-003,group,salesforce,2026-05-14T12:25:03.480259,system,True
